date,Poland,Bangladesh
3/4/2020,1,0
3/5/2020,1,0
3/6/2020,5,0
3/7/2020,5,0
3/8/2020,11,0
3/9/2020,16,3
3/10/2020,22,3
3/11/2020,31,3
3/12/2020,49,3
3/13/2020,68,3
3/14/2020,103,3
3/15/2020,119,3
3/16/2020,177,5
3/17/2020,238,8
3/18/2020,251,10
3/19/2020,355,14
3/20/2020,425,17
3/21/2020,536,20
3/22/2020,634,25
3/23/2020,749,27
3/24/2020,901,33
3/25/2020,1051,39
3/26/2020,1221,39
3/27/2020,1389,44
3/28/2020,1638,48
3/29/2020,1862,48
3/30/2020,2055,48
3/31/2020,2311,49
4/1/2020,2554,51
4/2/2020,2946,54
4/3/2020,3383,56
4/4/2020,3627,61
4/5/2020,4102,70
4/6/2020,4413,88
4/7/2020,4848,123
4/8/2020,5205,164
4/9/2020,5575,218
4/10/2020,5955,330
4/11/2020,6356,424
4/12/2020,6674,482
4/13/2020,6934,621
4/14/2020,7202,803
4/15/2020,7582,1012
4/16/2020,7918,1231
4/17/2020,8379,1572
4/18/2020,8742,1838
4/19/2020,9287,2144
4/20/2020,9593,2456
4/21/2020,9856,2948
4/22/2020,10169,3382
4/23/2020,10511,3772
4/24/2020,10892,4186
4/25/2020,11273,4689
4/26/2020,11617,4998
4/27/2020,11902,5416
4/28/2020,12218,5913
4/29/2020,12640,6462
4/30/2020,12877,7103
5/1/2020,13105,7667
5/2/2020,13375,8238
5/3/2020,13693,8790
5/4/2020,14006,9455
5/5/2020,14431,10143
5/6/2020,14740,10929
5/7/2020,15047,11719
5/8/2020,15366,12425
5/9/2020,15651,13134
5/10/2020,15996,13770
5/11/2020,16326,14657
5/12/2020,16921,15691
5/13/2020,17204,16660
5/14/2020,17615,17822
5/15/2020,18016,18863
5/16/2020,18257,20065
5/17/2020,18529,20995
5/18/2020,18885,22268
5/19/2020,19268,23870
5/20/2020,19739,25121
5/21/2020,20143,26738
5/22/2020,20619,28511
5/23/2020,20931,30205
5/24/2020,21326,32078
5/25/2020,21631,33610
5/26/2020,22074,35585
5/27/2020,22473,36751
5/28/2020,22825,38292
5/29/2020,23155,40321
5/30/2020,23571,42844
5/31/2020,23786,44608
6/1/2020,24165,47153
6/2/2020,24395,49534
6/3/2020,24687,52445
6/4/2020,25048,55140
6/5/2020,25410,57563
6/6/2020,25986,60391
6/7/2020,26561,63026
6/8/2020,27160,65769
6/9/2020,27560,68504
6/10/2020,27842,71675
6/11/2020,28201,74865
6/12/2020,28577,78052
6/13/2020,29017,81523
6/14/2020,29392,84379
6/15/2020,29788,87520
6/16/2020,30195,90619
6/17/2020,30701,94481
6/18/2020,31015,98489
6/19/2020,31316,102292
6/20/2020,31620,105535
6/21/2020,31931,108775
6/22/2020,32227,112306
6/23/2020,32527,115786
6/24/2020,32821,119198
6/25/2020,33119,122660
6/26/2020,33395,126606
6/27/2020,33714,130474
6/28/2020,33907,133978
6/29/2020,34154,137787
6/30/2020,34393,141801
7/1/2020,34775,145483
7/2/2020,35146,149258
7/3/2020,35405,153277
7/4/2020,35719,156391
7/5/2020,35950,159679
7/6/2020,36155,162417
7/7/2020,36412,165618
7/8/2020,36689,168645
7/9/2020,36951,172134
7/10/2020,37216,175494
7/11/2020,37521,178443
7/12/2020,37891,181129
7/13/2020,38190,183795
7/14/2020,38457,186894
7/15/2020,38721,190057
7/16/2020,39054,193590
7/17/2020,39407,196323
7/18/2020,39746,199357
7/19/2020,40104,202066
7/20/2020,40383,204525
7/21/2020,40782,207453
7/22/2020,41162,210510
7/23/2020,41580,213254
7/24/2020,42038,216110
7/25/2020,42622,218658
7/26/2020,43065,221178
7/27/2020,43402,223453
7/28/2020,43904,226225
7/29/2020,44416,229185
7/30/2020,45031,232194
7/31/2020,45688,234889
8/1/2020,46346,237661
8/2/2020,46894,239860
8/3/2020,47469,240746
8/4/2020,48149,242102
8/5/2020,48789,244020
8/6/2020,49515,246674
8/7/2020,50324,249651
8/8/2020,51167,252502
8/9/2020,51791,255113
8/10/2020,52410,257600
8/11/2020,52961,260507
8/12/2020,53676,263503
8/13/2020,54487,266498
8/14/2020,55319,269115
8/15/2020,56090,271881
8/16/2020,56684,274525
8/17/2020,57279,276549
8/18/2020,57876,279144
8/19/2020,58611,282344
8/20/2020,59378,285091
8/21/2020,60281,287959
8/22/2020,61181,290360
8/23/2020,61762,292625
8/24/2020,62310,294598
8/25/2020,63073,297083
8/26/2020,63802,299628
8/27/2020,64689,302147
8/28/2020,65480,304583
8/29/2020,66239,306794
8/30/2020,66870,308925
8/31/2020,67372,310822
9/1/2020,67922,312996
9/2/2020,68517,314946
9/3/2020,69129,317528
9/4/2020,69820,319686
9/5/2020,70387,321615
9/6/2020,70824,323565
9/7/2020,71126,325157
9/8/2020,71526,327359
9/9/2020,71947,329251
9/10/2020,72453,331078
9/11/2020,73047,332970
9/12/2020,73650,334762
9/13/2020,74152,336044
9/14/2020,74529,337520
9/15/2020,75134,339332
9/16/2020,75734,341056
9/17/2020,76571,342671
9/18/2020,77328,344264
9/19/2020,78330,345805
9/20/2020,79240,347372
9/21/2020,79988,348918
9/22/2020,80699,350621
9/23/2020,81673,352178
9/24/2020,82809,353844
9/25/2020,84396,355384
9/26/2020,85980,356767
9/27/2020,87330,357873
9/28/2020,88636,359148
9/29/2020,89962,360555
9/30/2020,91514,362043
10/1/2020,93481,363479
10/2/2020,95773,364987
10/3/2020,98140,366383
10/4/2020,100074,367565
10/5/2020,102080,368690
10/6/2020,104316,370132
10/7/2020,107319,371631
10/8/2020,111599,373151
10/9/2020,116338,374592
10/10/2020,121638,375870
10/11/2020,125816,377073
10/12/2020,130210,378266
10/13/2020,135278,379738
10/14/2020,141804,381275
10/15/2020,149903,382959
10/16/2020,157608,384559
10/17/2020,167230,386086
10/18/2020,175766,387295
10/19/2020,183248,388569
10/20/2020,192539,390206
10/21/2020,202579,391586
10/22/2020,214686,393131
10/23/2020,228318,394827
10/24/2020,241946,396413
10/25/2020,253688,397507
10/26/2020,263929,398815
10/27/2020,280229,400251
10/28/2020,299049,401586
10/29/2020,319205,403079
10/30/2020,340834,404760
10/31/2020,362731,406364
11/1/2020,379902,407684
11/2/2020,395480,409252
11/3/2020,414844,410988
11/4/2020,439536,412647
11/5/2020,466679,414164
11/6/2020,493765,416006
11/7/2020,521640,417475
11/8/2020,546425,418764
11/9/2020,568138,420238
11/10/2020,593592,421921
11/11/2020,618813,423620
11/12/2020,641496,425353
11/13/2020,665547,427198
11/14/2020,691118,428965
11/15/2020,712972,430496
11/16/2020,733788,432333
11/17/2020,752940,434472
11/18/2020,772823,436684
11/19/2020,796798,438795
11/20/2020,819262,441159
11/21/2020,843475,443434
11/22/2020,861331,445281
11/23/2020,876333,447341
11/24/2020,909066,449760
11/25/2020,924422,451990
11/26/2020,941112,454146
11/27/2020,958416,456438
11/28/2020,973593,458711
11/29/2020,985075,460619
11/30/2020,990811,462407
12/1/2020,999924,464932
12/2/2020,1013747,467225
12/3/2020,1028610,469423
12/4/2020,1041846,471739
12/5/2020,1054273,473991
12/6/2020,1063449,475789
12/7/2020,1067870,477545
12/8/2020,1076180,479743
12/9/2020,1088346,481945
12/10/2020,1102096,484104
12/11/2020,1115201,485965
12/12/2020,1126700,487849
12/13/2020,1135676,489178
12/14/2020,1140572,490533
12/15/2020,1147446,492332
12/16/2020,1159901,494209
12/17/2020,1171854,495841
12/18/2020,1182864,496975
12/19/2020,1194110,498293
12/20/2020,1202700,499560
12/21/2020,1207333,500713
12/22/2020,1214525,502183
12/23/2020,1226883,503501
12/24/2020,1239998,504868
12/25/2020,1249079,506102
12/26/2020,1253957,507265
12/27/2020,1257799,508099
12/28/2020,1261010,509148
12/29/2020,1268634,510080
12/30/2020,1281414,511261
12/31/2020,1294878,512496
1/1/2021,1305774,513510
1/2/2021,1312780,514500
1/3/2021,1318562,515184
1/4/2021,1322947,516019
1/5/2021,1330543,516929
1/6/2021,1344763,517920
1/7/2021,1356882,518898
1/8/2021,1365645,519905
1/9/2021,1376389,520690
1/10/2021,1385522,521382
1/11/2021,1390385,522453
1/12/2021,1395779,523302
1/13/2021,1404905,524020
1/14/2021,1414362,524910
1/15/2021,1422320,525723
1/16/2021,1429612,526485
1/17/2021,1435582,527063
1/18/2021,1438914,527632
1/19/2021,1443804,528329
1/20/2021,1450747,529031
1/21/2021,1457755,529687
1/22/2021,1464448,530271
1/23/2021,1470879,530890
1/24/2021,1475445,531326
1/25/2021,1478119,531799
1/26/2021,1482722,532401
1/27/2021,1489512,532916
1/28/2021,1496665,533444
1/29/2021,1502810,533953
1/30/2021,1508674,534407
1/31/2021,1513385,534770
2/1/2021,1515889,535139
2/2/2021,1520215,535582
2/3/2021,1527016,536107
2/4/2021,1533511,536545
2/5/2021,1539564,537030
2/6/2021,1545530,537465
2/7/2021,1550255,537770
2/8/2021,1552686,538062
2/9/2021,1556685,538378
2/10/2021,1563645,538765
2/11/2021,1570658,539153
2/12/2021,1577036,539531
2/13/2021,1583621,539975
2/14/2021,1588955,540266
2/15/2021,1591497,540592
2/16/2021,1596673,541038
2/17/2021,1605372,541434
2/18/2021,1614446,541877
2/19/2021,1623218,542268
2/20/2021,1631727,542674
2/21/2021,1638767,543024
2/22/2021,1642658,543351
2/23/2021,1648962,543717
2/24/2021,1661109,544116
2/25/2021,1673252,544544
2/26/2021,1684788,544954
2/27/2021,1696885,545424
2/28/2021,1706986,545831
3/1/2021,1711772,546216
3/2/2021,1719708,546801
3/3/2021,1735406,547316
3/4/2021,1750659,547930
3/5/2021,1766490,548549
3/6/2021,1781345,549184
3/7/2021,1794914,549724
3/8/2021,1801083,550330
3/9/2021,1811036,551175
3/10/2021,1828313,552087
3/11/2021,1849424,553105
3/12/2021,1868297,554156
3/13/2021,1889360,555222
3/14/2021,1906632,556236
3/15/2021,1917527,557395
3/16/2021,1931921,559168
3/17/2021,1956974,560887
3/18/2021,1984248,562752
3/19/2021,2010244,564939
3/20/2021,2036700,566838
3/21/2021,2058550,568706
3/22/2021,2073129,570878
3/23/2021,2089869,573687
3/24/2021,2120671,577241
3/25/2021,2154821,580808
3/26/2021,2189966,584395
3/27/2021,2221725,588132
3/28/2021,2250991,591806
3/29/2021,2267964,595714
3/30/2021,2288826,600895
3/31/2021,2321717,605937
4/1/2021,2356970,611295
4/2/2021,2387511,617764
4/3/2021,2415584,624594
4/4/2021,2438542,630277
4/5/2021,2448463,637364
4/6/2021,2456709,644439
4/7/2021,2471617,651652
